Date,Case 1,Case 2,Case 3,Case 4,Case 5,Other
2/25/2003,0,0,0,0,0,2
2/26/2003,0,0,0,0,0,0
2/27/2003,0,0,0,0,0,0
2/28/2003,0,0,0,0,0,1
3/1/2003,0,0,0,0,0,0
3/2/2003,0,0,0,0,0,0
3/3/2003,0,0,0,0,0,0
3/4/2003,1,0,0,0,0,0
3/5/2003,1,0,0,0,0,0
3/6/2003,1,0,0,0,0,0
3/7/2003,3,0,0,0,0,0
3/8/2003,3,0,0,0,0,0
3/9/2003,6,0,0,0,0,0
3/10/2003,3,1,0,0,0,0
3/11/2003,2,0,0,0,0,1
3/12/2003,0,1,0,0,0,0
3/13/2003,0,0,0,0,0,0
3/14/2003,1,3,0,0,0,2
3/15/2003,0,5,5,0,0,2
3/16/2003,0,5,7,0,0,1
3/17/2003,0,4,4,0,0,2
3/18/2003,0,1,1,0,0,4
3/19/2003,0,2,3,0,0,3
3/20/2003,0,0,1,0,0,1
3/21/2003,0,0,2,0,0,2
3/22/2003,0,0,0,0,0,1
3/23/2003,0,0,0,0,0,1
3/24/2003,0,0,0,0,0,4
3/25/2003,0,1,0,1,0,3
3/26/2003,0,0,0,0,0,2
3/27/2003,0,0,0,0,0,3
3/28/2003,0,0,0,0,0,1
3/29/2003,0,0,0,1,0,3
3/30/2003,0,0,0,0,0,1
3/31/2003,0,0,0,2,0,3
4/1/2003,0,0,0,1,0,1
4/2/2003,0,0,0,4,0,2
4/3/2003,0,0,0,5,0,1
4/4/2003,0,0,0,6,0,3
4/5/2003,0,0,0,8,0,4
4/6/2003,0,0,0,2,0,1
4/7/2003,0,0,0,2,0,2
4/8/2003,0,0,0,2,3,1
4/9/2003,0,0,0,2,0,3
4/10/2003,0,0,0,0,0,2
4/11/2003,0,0,0,2,2,1
4/12/2003,0,0,0,1,1,2
4/13/2003,0,0,0,0,2,3
4/14/2003,0,0,0,0,2,1
4/15/2003,0,0,0,1,0,0
4/16/2003,0,0,0,0,1,4
4/17/2003,0,0,0,0,0,1
4/18/2003,0,0,0,0,0,0
4/19/2003,0,0,0,0,0,2
4/20/2003,0,0,0,0,1,1
4/21/2003,0,0,0,0,0,2
4/22/2003,0,0,0,0,0,1
4/23/2003,0,0,0,0,0,0
4/24/2003,0,0,0,0,0,0
4/25/2003,0,0,0,0,0,0
4/26/2003,0,0,0,0,0,0
4/27/2003,0,0,0,0,0,1
